Institute_ID,Institute_Name,Institute_Type_ID
1,"Assam University, Silchar",1
2,"Birla Institute of Technology, Mesra,  Ranchi",1
3,"Gurukula Kangri Vishwavidyalaya, Haridwar",1
4,"Indian Institute of Carpet Technology,  Bhadohi",1
5,"Institute of Infrastructure, Technology, Research and Management-Ahmedabad",1
6,"School of Studies of Engineering and Technology, Guru Ghasidas Vishwavidyalaya, Bilaspur",1
7,"J.K. Institute of Applied Physics &amp; Technology, Department of Electronics &amp; Communication, University of Allahabad- Allahabad",1
8,"National Institute of Electronics and Information Technology, Aurangabad (Maharashtra)",1
9,"National Institute of Advanced Manufacturing Technology, Ranchi",1
10,Sant Longowal Institute of Engineering and Technology,1
11,"Mizoram University, Aizawl",1
12,"School of Engineering, Tezpur University, Napaam, Tezpur",1
13,"School of Planning &amp; Architecture, Bhopal",1
14,"School of Planning &amp; Architecture, New Delhi",1
15,School of Planning &amp; Architecture: Vijayawada,1
16,"Shri Mata Vaishno Devi University, Katra, Jammu &amp; Kashmir",1
17,"International Institute of Information Technology, Naya Raipur",1
18,University of Hyderabad,1
19,"Punjab Engineering College, Chandigarh",1
20,"Jawaharlal Nehru University, Delhi",1
21,"International Institute of Information Technology, Bhubaneswar",1
22,"Central institute of Technology Kokrajar, Assam",1
23,"Puducherry Technological University, Puducherry",1
24,"Ghani Khan Choudhary Institute of Engineering and Technology, Malda, West Bengal",1
25,"Central University of Rajasthan, Rajasthan",1
26,"National Institute of Food Technology Entrepreneurship and Management, Kundli",1
27,"National Institute of Food Technology Entrepreneurship and Management, Thanjavur",1
28,"North Eastern Regional Institute of Science and Technology, Nirjuli-791109 (Itanagar),Arunachal Pradesh",1
29,"Indian Institute of Handloom Technology(IIHT), Varanasi",1
30,"Chhattisgarh Swami Vivekanada Technical University, Bhilai (CSVTU Bhilai)",1
31,"Institute of Chemical Technology, Mumbai: Indian Oil Odisha Campus, Bhubaneswar",1
32,"North-Eastern Hill University, Shillong",1
33,Central University of Jammu,1
34,"Institute of Engineering and Technology, Dr. H. S. Gour University. Sagar (A Central University)",1
35,Central University of Haryana,1
36,"Birla Institute of Technology, Deoghar Off-Campus",1
37,"Birla Institute of Technology, Patna Off-Campus",1
38,"Indian Institute of Handloom Technology, Salem",1
39,"Gati Shakti Vishwavidyalaya, Vadodara",1
40,CU Jharkhand,1
41,"National Institute of Electronics and Information Technology, Ropar (Punjab)",1
42,"National Institute of Electronics and Information Technology, Patna (Bihar)",1
43,"National Institute of Electronics and Information Technology, Ajmer (Rajasthan)",1
44,"National Institute of Electronics and Information Technology, Gorakhpur (UP)",1
45,"Rajiv Gandhi National Aviation University, Fursatganj, Amethi (UP)",1
46,Islamic University of Science and Technology Kashmir,1
47,Shri G. S. Institute of Technology and Science Indore,1
48,Indian Institute  of Technology Bhubaneswar,2
49,Indian Institute  of Technology Bombay,2
50,Indian Institute  of Technology Mandi,2
51,Indian Institute  of Technology Delhi,2
52,Indian Institute  of Technology Indore,2
53,Indian Institute  of Technology Kharagpur,2
54,Indian Institute  of Technology Hyderabad,2
55,Indian Institute  of Technology Jodhpur,2
56,Indian Institute  of Technology Kanpur,2
57,Indian Institute  of Technology Madras,2
58,Indian Institute  of Technology Gandhinagar,2
59,Indian Institute  of Technology Patna,2
60,Indian Institute  of Technology Roorkee,2
61,Indian Institute  of Technology (ISM) Dhanbad,2
62,Indian Institute  of Technology Ropar,2
63,Indian Institute  of Technology (BHU) Varanasi,2
64,Indian Institute  of Technology Guwahati,2
65,Indian Institute of Technology Bhilai,2
66,Indian Institute of Technology Goa,2
67,Indian Institute  of Technology Palakkad,2
68,Indian Institute  of Technology Tirupati,2
