Name,Abbreviation,Founded,Established as NIT,City/Town,State/UT,NIRF_Engineering_Rank,NIRF Rank_Overall,Region,Years_Old
NIT Karnataka,NITK,1960,2002,Surathkal,Karnataka,17,54,South,66
NIT Warangal,NITW,1959,2002,Warangal,Telangana,28,63,South,67
NIT Bhopal,MANIT,1960,2002,Bhopal,Madhya Pradesh,81,0,Central,66
IIEST Shibpur,IIESTS,1856,2019,Shibpur,West Bengal,54,0,East,170
NIT Nagpur,VNIT,1960,2002,Nagpur,Maharashtra,44,86,West,66
NIT Durgapur,NITDGP,1960,2002,Durgapur,West Bengal,49,0,East,66
NIT Jamshedpur,NITJSR,1960,2002,Jamshedpur,Jharkhand,82,0,North,66
NIT Srinagar,NITSRI,1960,2002,Srinagar,Jammu and Kashmir,73,0,North,66
NIT Allahabad,MNNIT,1961,2002,Prayagraj,Uttar Pradesh,62,0,North,65
NIT Surat,SVNIT,1961,2002,Surat,Gujarat,66,0,West,65
NIT Calicut,NITC,1961,2002,Kozhikode,Kerala,21,45,South,65
NIT Rourkela,NITR,1961,2002,Rourkela,Odisha,13,34,East,65
NIT Jaipur,MNIT,1963,2002,Jaipur,Rajasthan,42,77,West,63
NIT Kurukshetra,NITKKR,1963,2002,Kurukshetra,Haryana,85,0,North,63
NIT Tiruchirappalli,NITT,1964,2002,Tiruchirappalli,Tamil Nadu,9,30,South,62
NIT Hamirpur,NITH,1986,2002,Hamirpur,Himachal Pradesh,97,0,North,40
NIT Jalandhar,NITJ,1987,2002,Jalandhar,Punjab,55,0,North,39
NIT Patna,NITP,1886,2006,Patna,Bihar,53,0,East,140
NIT Raipur,NITRR,1956,2006,Raipur,Chhattisgarh,86,0,Central,70
NIT Agartala,NITA,1965,2006,Agartala,Tripura,0,0,NorthEast,61
NIT Arunachal Pradesh,NITAP,2010,2010,Yupia,Arunachal Pradesh,0,0,NorthEast,16
NIT Delhi,NITD,2010,2010,New Delhi,Delhi,65,0,North,16
NIT Goa,NITG,2010,2010,Cuncolim,Goa,0,0,West,16
NIT Manipur,NITMN,2010,2010,Imphal,Manipur,0,0,NorthEast,16
NIT Meghalaya,NITM,2010,2010,Shillong,Meghalaya,83,0,NorthEast,16
NIT Mizoram,NITMZ,2010,2010,Aizawl,Mizoram,0,0,NorthEast,16
NIT Nagaland,NITN,2010,2010,Chumoukedima,Nagaland,0,0,NorthEast,16
NIT Puducherry,NITPY,2010,2010,Karaikal,Puducherry,99,0,South,16
NIT Sikkim,NITSKM,2010,2010,Ravangla,Sikkim,0,0,NorthEast,16
NIT Uttarakhand,NITUK,2010,2010,"Srinagar, Uttarakhand",Uttarakhand,0,0,North,16
NIT Andhra Pradesh,NITANP,2015,2015,Tadepalligudem,Andhra Pradesh,0,0,South,11
