Institute,Academic Program Name,Quota,Seat Type,Gender,Opening Rank,Closing Rank,Academic Program Short Name
Atal Bihari Vajpayee Indian Institute of Information Technology &Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,6450,9527,Computer Science and Engineering
Atal Bihari Vajpayee Indian Institute of Information Technology &Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),9323,15152,Computer Science and Engineering
Atal Bihari Vajpayee Indian Institute of Information Technology &Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,129,129,Computer Science and Engineering
Atal Bihari Vajpayee Indian Institute of Information Technology &Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Female-only (including Supernumerary),481,481,Computer Science and Engineering
Atal Bihari Vajpayee Indian Institute of Information Technology &Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,1299,1448,Computer Science and Engineering
Atal Bihari Vajpayee Indian Institute of Information Technology &Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),2137,2137,Computer Science and Engineering
Atal Bihari Vajpayee Indian Institute of Information Technology &Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,2583,3413,Computer Science and Engineering
Atal Bihari Vajpayee Indian Institute of Information Technology &Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),4902,6583,Computer Science and Engineering
Atal Bihari Vajpayee Indian Institute of Information Technology &Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL (PwD),Gender-Neutral,229,229,Computer Science and Engineering
Atal Bihari Vajpayee Indian Institute of Information Technology &Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,1520,2092,Computer Science and Engineering
Atal Bihari Vajpayee Indian Institute of Information Technology &Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),3484,4039,Computer Science and Engineering
Atal Bihari Vajpayee Indian Institute of Information Technology &Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC (PwD),Gender-Neutral,97,97,Computer Science and Engineering
Atal Bihari Vajpayee Indian Institute of Information Technology &Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,660,933,Computer Science and Engineering
Atal Bihari Vajpayee Indian Institute of Information Technology &Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),613,613,Computer Science and Engineering
Atal Bihari Vajpayee Indian Institute of Information Technology &Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,ST (PwD),Gender-Neutral,84,84,Computer Science and Engineering
Atal Bihari Vajpayee Indian Institute of Information Technology &Management Gwalior,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,13804,17366,Electrical and Electronics Engineering
Atal Bihari Vajpayee Indian Institute of Information Technology &Management Gwalior,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),21192,27081,Electrical and Electronics Engineering
Atal Bihari Vajpayee Indian Institute of Information Technology &Management Gwalior,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,748,748,Electrical and Electronics Engineering
Atal Bihari Vajpayee Indian Institute of Information Technology &Management Gwalior,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,2336,2573,Electrical and Electronics Engineering
Atal Bihari Vajpayee Indian Institute of Information Technology &Management Gwalior,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),4546,4546,Electrical and Electronics Engineering
Atal Bihari Vajpayee Indian Institute of Information Technology &Management Gwalior,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,5258,6392,Electrical and Electronics Engineering
Atal Bihari Vajpayee Indian Institute of Information Technology &Management Gwalior,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),13900,14415,Electrical and Electronics Engineering
Atal Bihari Vajpayee Indian Institute of Information Technology &Management Gwalior,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL (PwD),Gender-Neutral,639,639,Electrical and Electronics Engineering
Atal Bihari Vajpayee Indian Institute of Information Technology &Management Gwalior,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,3088,4070,Electrical and Electronics Engineering
Atal Bihari Vajpayee Indian Institute of Information Technology &Management Gwalior,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),7939,7972,Electrical and Electronics Engineering
