Chapter Name,21 January Shift 1,21 January Shift 2,22 January Shift 1,22 January Shift 2,23 January Shift 1,23 January Shift 2,24 January Shift 1,24 January Shift 2,28 January Shift 1,28 January Shift 2,Total
Alcohols Phenols and Ethers,0,0,1,1,2,1,2,2,1,1,11
Aldehydes and Ketones,1,1,1,1,1,2,0,1,1,0,9
Amines,3,1,1,2,2,2,1,2,2,2,18
Biomolecules,1,1,1,1,1,1,1,1,1,1,10
Carboxylic Acid Derivatives,0,0,0,0,0,0,0,0,0,1,1
Chemical Bonding and Molecular Structure,1,2,2,1,1,1,2,1,1,1,13
Chemical Equilibrium,1,0,1,0,2,1,0,1,0,1,7
Chemical Kinetics,1,1,2,2,1,2,1,1,1,1,13
Classification of Elements and Periodicity in Properties,1,1,1,1,1,2,1,2,1,1,12
Coordination Compounds,1,2,1,1,3,2,3,2,2,2,19
d and f Block Elements,2,2,1,2,0,1,0,1,1,1,11
Electrochemistry,1,2,1,2,1,1,1,1,1,2,13
General Organic Chemistry,3,3,1,2,1,2,3,3,2,1,21
Haloalkanes and Haloarenes,0,2,3,1,1,0,2,1,0,1,11
Hydrocarbons,1,0,2,1,2,2,0,0,3,1,12
Ionic Equilibrium,0,1,0,1,1,0,1,0,2,0,6
p Block Elements (Group 13 and 14),2,0,0,1,1,1,0,0,0,1,6
"p Block Elements (Group 15, 16, 17 and 18)",0,0,1,0,0,0,0,0,1,1,3
Practical Chemistry,0,1,0,0,0,0,1,1,0,1,4
Redox Reactions,0,0,0,1,0,1,1,1,1,0,5
Solutions,1,2,2,1,1,1,2,2,1,1,14
Some Basic Concepts of Chemistry,2,1,1,1,0,0,0,0,0,1,6
Structure of Atom,1,1,1,1,2,2,1,1,2,2,14
Thermodynamics (C),2,1,1,1,1,0,2,1,1,1,11
