Chapter Name,21 January Shift 1,21 January Shift 2,22 January Shift 1,22 January Shift 2,23 January Shift 1,23 January Shift 2,24 January Shift 1,24 January Shift 2,28 January Shift 1,28 January Shift 2,Total
Alternating Current,0,1,0,0,1,0,1,0,1,1,5
Atomic Physics,1,1,0,1,1,0,1,0,0,0,5
Capacitance,1,1,0,1,1,1,0,1,0,1,7
Center of Mass Momentum and Collision,0,0,0,1,1,1,0,0,0,0,3
Current Electricity,1,3,1,2,1,1,2,4,3,2,20
Dual Nature of Matter,1,1,0,1,1,0,0,1,1,1,7
Electromagnetic Induction,2,0,3,2,2,2,0,0,0,0,11
Electromagnetic Waves,1,1,1,1,2,1,1,0,1,1,10
Electrostatics,1,1,3,2,1,2,3,1,1,1,16
Experimental Physics,0,0,0,0,1,0,0,1,1,1,4
Gravitation,1,0,2,1,0,0,1,0,0,0,5
Kinetic Theory of Gases,0,1,2,1,0,0,1,0,0,1,6
Laws of Motion,1,1,0,0,0,1,2,1,2,1,9
Magnetic Effects of Current,1,1,0,0,0,1,1,1,2,1,8
Magnetic Properties of Matter,0,0,0,0,1,0,0,0,0,0,1
Mathematics in Physics,1,0,0,0,1,0,0,0,0,0,2
Mechanical Properties of Fluids,1,3,1,1,0,2,1,2,0,0,11
Mechanical Properties of Solids,0,0,0,0,1,0,0,0,1,0,2
Motion In One Dimension,0,0,0,0,0,1,0,1,1,1,4
Motion In Two Dimensions,0,1,1,0,1,0,1,0,0,0,4
Nuclear Physics,0,0,2,0,0,2,1,1,1,1,8
Oscillations,0,1,0,1,2,0,1,0,1,2,8
Ray Optics,2,1,3,2,2,2,2,2,2,2,20
Rotational Motion,2,2,2,2,2,1,1,2,2,2,18
Semiconductors,1,0,1,1,1,1,1,1,1,1,9
Thermal Properties of Matter,2,0,1,0,0,0,1,0,2,0,6
Thermodynamics,1,1,0,1,0,2,1,2,1,1,10
Units and Dimensions,1,1,1,1,0,1,1,0,0,1,7
Wave Optics,1,2,0,1,1,1,1,1,1,1,10
Waves and Sound,1,0,1,1,0,1,0,2,0,2,8
Work Power Energy,1,1,0,1,1,1,0,1,0,0,6
